"Position","Name","Type","Signal","Label","AF0","AF1","AF2","AF3","AF4","AF5","AF6","AF7","AF8","AF9","AF10","AF11","AF12","AF13","AF14","AF15"
"63","PC6","I/O","","","","","TIM3_CH1","TIM8_CH1","","I2S2_MCK","","USART6_TX","SDMMC1_D0DIR","FMC_NWAIT","I3C2_SCL","OCTOSPI1_IO5","SDMMC1_D6","DCMI_D0/PSSI_D0","","EVENTOUT"
"64","PC7","I/O","","","","","TIM3_CH2","TIM8_CH2","","","I2S3_MCK","USART6_RX","SDMMC1_D123DIR","FMC_NE1","I3C2_SDA","OCTOSPI1_IO6","SDMMC1_D7","DCMI_D1/PSSI_D1","","EVENTOUT"
"65","PC8","I/O","","","DEBUG_TRACED1","","TIM3_CH3","TIM8_CH3","","","","USART6_CK","UART5_DE/UART5_RTS","FMC_NCE/FMC_NE2","FMC_INT","FMC_ALE","SDMMC1_D0","DCMI_D2/PSSI_D2","","EVENTOUT"
"66","PC9","I/O","","","RCC_MCO_2","","TIM3_CH4","TIM8_CH4","I2C3_SDA","AUDIOCLK","","","UART5_CTS","OCTOSPI1_IO0","","FMC_CLE","SDMMC1_D1","DCMI_D3/PSSI_D3","","EVENTOUT"
"67","PA8","I/O","","","RCC_MCO_1","TIM1_CH1","","TIM8_BKIN2","I2C3_SCL","SPI1_RDY","SPI4_MOSI","USART1_CK","","I3C2_SCL","USB_SOF","","FMC_NOE","DCMI_D3/PSSI_D3","","EVENTOUT"
"68","PA9","I/O","","","","TIM1_CH2","","LPUART1_TX","I2C3_SMBA","I2S2_CK/SPI2_SCK","","USART1_TX","","","","","FMC_NWE","DCMI_D0/PSSI_D0","","EVENTOUT"
"69","PA10","I/O","","","","TIM1_CH3","","LPUART1_RX","LPTIM2_IN2","","UCPD1_FRSTX","USART1_RX","","FDCAN2_TX","","","SDMMC1_D0","DCMI_D1/PSSI_D1","","EVENTOUT"
"70","PA11","I/O","","","","TIM1_CH4","","LPUART1_CTS","","I2S2_WS/SPI2_NSS","UART4_RX","USART1_CTS/USART1_NSS","","FDCAN1_RX","USB_DM","","","","","EVENTOUT"
"71","PA12","I/O","","","","TIM1_ETR","","LPUART1_DE/LPUART1_RTS","","I2S2_CK/SPI2_SCK","UART4_TX","USART1_DE/USART1_RTS","","FDCAN1_TX","USB_DP","","","","","EVENTOUT"
"72","PA13(JTMS/SWDIO)","I/O","","","DEBUG_JTMS-SWDIO","","","","","","","","","","","","","","","EVENTOUT"
